Organization,Address,ZIP,Main Phone,Hours,Payment,Age Range Served,Other Languages,Behavioral Services Types,Crisis Services,Grief Services - Availability,Location
Erie Family Health Centers - Lakeview,4015 N. Ashland Ave.,60613,312-666-3494,"Weekdays: Monday, Tuesday, Thursday, & Friday 8am - 4:30pm; Wednesday 10am - 4:30pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,14-18 years old,Spanish,Behavioral Health Consulting; Psychiatry;,false,true,POINT (-87.668624971 41.955619991)
Erie Family Health Centers - Johnson,1504 S. Albany Ave.,60623,312-666-3494,"Weekdays: Monday, Tuesday, Thursday, & Friday 8:30am - 4:30pm; Wednesday 10am - 4:30pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,,Behavioral Health Consulting; Psychiatry;,false,true,POINT (-87.703410959 41.861162983)
Erie Family Health Centers - Foster Avenue,"5215 N. California Ave., 7th Floor",60625,312-666-3494,"Weekdays: Monday, Tuesday, Thursday, & Friday 8:30am - 5:30pm;  Wednesday 10am - 7pm
Weekends: Saturday 10am - 2pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,Spanish,Behavioral Health Consulting; Psychiatry;,false,false,POINT (-87.698577031 41.976311012)
Erie Family Health Centers - Erie West Town,"1701 W. Superior St., 2nd Floor",60622,312-666-3494,"Weekdays: Monday, Thursday, & Friday 8:30am - 5:30pm; Tuesday  8:30am - 7:30pm; Wednesday 10am - 5:30pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,Spanish,Behavioral Health Consulting; Psychiatry;,false,false,POINT (-87.670061964 41.894857018)
Erie Family Health Centers - Erie Humboldt Park,2750 W. North Ave.,60647,312-666-3494,"Weekdays:  Monday, Tuesday, Thursday, & Friday 8:30am - 5:30pm; Wednesday 10am - 7pm
Weekends: Saturday 10am - 2pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,Spanish,Behavioral Health Consulting; Psychiatry;,false,false,POINT (-87.69674701 41.910527992)
Erie Family Health Centers - Erie Helping Hands,4747 N. Kedzie Ave.,60625,312-666-3494,"Weekdays: Monday, Tuesday, Thursday, & Friday 8:30am - 5:30pm; Wednesday 10am - 7pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,Spanish; Polish,Behavioral Health Consulting; Psychiatry;,false,false,POINT (-87.70811899 41.968093981)
Erie Family Health Centers - Erie Division Street,2418 W. Division St.,60622,312-666-3494,"Weekdays: Monday, Thursday, & Friday 8:30am - 5:30pm; Tuesday 8:30am - 7:30pm;  Wednesday 10am - 7pm
Weekends: Sunday 10am - 2pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old; 25-64 years old;Older than 64 years old,Spanish,Behavioral Health Consulting; Psychiatry;,false,false,POINT (-87.687715007 41.903352999)
Erie Family Health Centers - Clemente,1137 N. Western Ave.,60622,312-666-3494,"Weekdays: Monday, Tuesday, Thursday, & Friday 8am - 4:30pm; Wednesday 10am - 4:30pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,14-18 years old,Spanish,Behavioral Health Consulting; Psychiatry;,false,true,POINT (-87.686916829 41.902181374)
Erie Family Health Centers - Amundsen,5110 N. Damen Ave.,60640,312-666-3494,"Weekdays: Monday, Tuesday, Thursday, & Friday 8am - 4:30pm; Wednesday 10am - 4:30pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,14-18 years old,,Behavioral Health Consulting; Psychiatry;,false,true,POINT (-87.680044979 41.975113993)
Envision Unlimited - Westtown Center,1801 N. Spaulding Ave,60647,773-267-0444,Weekdays: Monday - Friday 9am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,18+; 60+ years old;,Spanish,"Behavioral Health, Consulting, case management, individual therapy",true,true,POINT (-87.709748013 41.913982007)
Envision Unlimited - Elston,4419 N. Ravenswood Ave.,60640,773-769-4313,Weekdays: Monday & Tuesday 9am-5pm; Wednesday 9am-7pm; Thursday & Friday 9am-5pm.,Services Free As Needed; Accepts Insurance and Uninsured Patients,13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Assertive Community Treatment; Behavioral Health Consulting; Case Management/Care Coordination; Community Support Teams; Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Peer Support Services; Psychiatry;,true,true,POINT (-87.673557972 41.962132017)
Enlace Chicago,2729 S. Harding Ave.,60623,773-943-7570,Weekdays: Monday - Friday 9am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,13-17 years old;18-24 years old;,Spanish,Case Management/Care Coordination; Peer Support Services;,false,false,POINT (-87.722995024 41.841546019)
"EMAGES, INC.","7601 S. Kostner Ave., Suite 500",60652,773-224-7386,Weekdays: Monday - Wednesday 10am - 6pm; Friday 12pm - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,25-64 years old;Older than 64 years old;,,Case Management/Care Coordination; Group Therapy or Support Groups; Individual Psychotherapy - short term; Individual Psychotherapy - long term;,false,true,POINT (-87.731911022 41.754538008)
Community Counseling Centers of Chicago - Uptown,4740 N. Clark St.,60640,773-769-0205,Weekdays: Monday - Thursday 8:30am - 8pm; Friday 8:30am  - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Family Psychotherapy; Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term;  Psychiatry;,true,false,POINT (-87.66774001 41.968237018)
Community Counseling Centers of Chicago - Humboldt Park,2542 W. North Ave.,60647,773-365-7277,Weekdays: Monday - Thursday 8:30am - 8pm; Friday 8:30am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Community Support Teams; Family Psychotherapy; Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Peer Support Services; Psychiatry;,true,false,POINT (-87.691499017 41.910582013)
Community Counseling Centers of Chicago - Edgewater,5710 N. Broadway St.,60660,773-728-1000,Weekdays: Monday - Friday 8:30am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,18-24 years old;25-64 years old;Older than 64 years old,Spanish,Assertive Community Treatment; Case Management/Care Coordination; Community Support Teams; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Group Therapy or Support Groups; Peer Support Services; Psychiatry;,true,false,POINT (-87.660555964 41.985954015)
Christian Community Health Center - South Holland,901 Sibley Blvd.,60473,773-233-4100,"Weekdays: Monday, Tuesday, & Wednesday 8am - 6pm; Thursday 9am - 8pm; Friday 8am - 5pm
Weekends: Saturday (4th) 8am - 2pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,,Behavioral Health Consulting; Family Psychotherapy; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Psychiatry;,false,true,POINT (-87.549291816 41.622643909)
Christian Community Health Center - Halsted,9718 S. Halsted St.,60628,773-233-4100,"Weekdays: Monday & Friday 9am - 5pm; Tuesday & Wednesday 9am - 6pm; Thursday, 10am - 7pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,,Behavioral Health Consulting; Case Management/Care Coordination; Family Psychotherapy; Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Psychiatry;,false,true,POINT (-87.643449003 41.716878997)
Christian Community Health Center - Calumet City,364 Torrence Ave.,60409,708-868-9457,"Weekdays: Monday, Tuesday, & Wednesday 8am - 6pm; Thursday 9am - 8pm; Friday 8am - 5pm
Weekends: Saturday (2nd) 8am - 2pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,,Behavioral Health Consulting; Case Management/Care Coordination; Family Psychotherapy; Individual Psychotherapy - short term; Individual Psychotherapy - long term; Psychiatry;,false,true,POINT (-87.559529975 41.626654012)
Chinese American Service League,2141 S. Tan Ct.,60616,312-791-0418,Weekdays: Monday - Friday 9am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,Cantonese; Chinese; Mandarin,Behavioral Health Consulting; Case Management/Care Coordination; Family Psychotherapy; Individual Psychotherapy - long term; Individual Psychotherapy - short term;,false,true,POINT (-87.635427018 41.854460017)
Chicago Survivors - Satellite,3250 W. 60th St.,60629,312-488-9222,"Weekdays: Monday - Friday 24/7
Weekends: Saturday & Sunday 24/7",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish;,Behavioral Health Consulting; Case Management/Care Coordination; Individual Psychotherapy - short term; Group Therapy or Support Groups;,true,true,POINT (-87.705393027 41.784663993)
Chicago Survivors,"1010 W. 35 St., #510",60609,312-488-9222,"Weekdays: Monday - Friday 24/7
Weekends: Saturday & Sunday 24/7",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;,Spanish;,Behavioral Health Consulting; Individual Psychotherapy - short term; Group Therapy or Support Groups;,true,true,POINT (-87.652002986 41.830937002)
Chicago Family Health Center - Roseland,120 W. 111st St.,60628,773-768-5000,Weekdays: Monday - Friday 8:30am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old; 5-12 years old; 13-17 years old; 18-24 years old; 25-64 years old;,Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Family Psychotherapy; Individual Psychotherapy - short term; Peer Support Services;,false,true,POINT (-87.626915028 41.692859983)
Chicago Family Health Center - Pullman,570 E. 115th St.,60628,773-768-5000,"Weekdays: Monday & Thursday 8:30am - 8pm; Tuesday, Wednesday, & Friday 8:30am - 5pm
Weekends: Saturday 8:30am - 1pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Family Psychotherapy; Individual Psychotherapy - short term;,false,true,POINT (-87.608742978 41.685760008)
Chicago Family Health Center - East Side,10536 S. Ewing Ave.,60617,773-768-5000,"Weekdays: Monday, Wednesday, Thursday, & Friday 8:30am - 5pm; Tuesday 8:30am - 8pm
Weekends: Saturday 9am - 1pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting;,false,false,POINT (-87.53559302 41.703493014)
Chicago Family Health Center - CVCA SBHC,2100 E. 87th St.,60617,773-768-5000,Weekdays: Monday - Friday 8:30am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old; 5-12 years old; 13-17 years old; 18-24 years old; 25-64 years old; Older than 64 years old;,Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Family Psychotherapy; Individual Psychotherapy - short term; Peer Support Services; Psychiatry;,false,true,POINT (-87.572737004 41.738053989)
Chicago Family Health Center - Chicago Lawn,3223 W. 63rd St.,60629,773-768-5000,"Weekdays: Monday 8:30am - 5pm; Tuesday - Friday 8:30am - 5pm
Weekends: Saturday 8:30am - 1pm (2nd & 4th)",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;18-24 years old;13-17 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Family Psychotherapy; Individual Psychotherapy - short term;,false,true,POINT (-87.70414404 41.778583006)
CDPH North River Mental Health Clinic,"5801 N. Pulaski Rd., Building C",60646,312-744-1906,"Weekdays: Monday, Tuesday, & Friday 8:30am - 4:30pm; Wednesday & Thursday 8:30am - 7:30pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,Spanish,Case Management/Care Coordination; Group Therapy or Support Groups; Individual Psychotherapy - long term; Psychiatry;,false,true,POINT (-87.728422339 41.985833163)
CDPH Lawndale Mental Health Clinic,1105 S. Western Ave.,60612,312-746-5905,Weekdays: Monday - Friday 8:30am - 4:30pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Family Psychotherapy; Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Intensive Outpatient Program; Peer Support Services; Psychiatry;,false,true,POINT (-87.685645012 41.868192005)
CDPH Greater Lawn Mental Health Clinic,4150 W. 55th St.,60632,312-747-1020,"Weekdays: Monday, Wednesday, & Friday 8:30am - 4:30pm; Tuesday & Thursday 8:30am - 7:30pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old; 13-17 years old;18-24 years old;25-64 years old; Older than 64 years old,Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Family Psychotherapy; Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Psychiatry;,true,true,POINT (-87.727718981 41.79343599)
CDPH Greater Grand Mental Health Clinic,4314 S. Cottage Grove Ave.,60653,312-747-0036,Weekdays: Monday - Friday 8:30am - 4:30pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,18-24 years old;25-64 years old;Older than 64 years old,,Behavioral Health Consulting; Group Therapy or Support Groups; Individual Psychotherapy - long term;  Individual Psychotherapy - short term;,false,true,POINT (-87.607178999 41.816225002)
CDPH Englewood Mental Health Clinic,641 W. 63rd St.,60621,312-747-7496,Weekdays: Monday - Friday 8:30am - 4:30pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,18-24 years old;25-64 years old;Older than 64 years old,,Behavioral Health Consulting; Case Management/Care Coordination; Group Therapy or Support Groups;  Individual Psychotherapy - long term; Individual Psychotherapy - short term;,false,true,POINT (-87.641298961 41.779505979)
Catholic Charities- South Chicago,9119 S. Exchange Ave.,60617,312-655-7725,Weekdays: Monday - Friday 8am - 8pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Family Psychotherapy; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Psychiatry;,false,true,POINT (-87.552115008 41.729502017)
Catholic Charities - Roseland,11255 S. Michigan Ave.,60628,312-655-7725,Weekdays: Monday - Friday 8am - 8pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Family Psychotherapy; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Psychiatry;,false,true,POINT (-87.620923278 41.689278782)
Catholic Charities - Near West Side,2310 W Roosevelt Rd,60608,312-655-7725,Weekdays: Monday - Friday 8am - 8pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Family Psychotherapy; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Psychiatry;,false,true,POINT (-87.684088996 41.866929984)
Catholic Charities - Near North Side,721 N. Lasalle Dr.,60611,312-655-7725,Weekdays: Monday - Friday 8am - 8pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Family Psychotherapy; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Psychiatry;,false,true,POINT (-87.632194035 41.895283992)
Catholic Charities - Logan Square,3114 W. Armitage Ave.,60647,312-655-7725,Weekdays: Monday - Friday 8am - 8pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Family Psychotherapy; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Psychiatry;,false,true,POINT (-87.705869036 41.917766981)
Catholic Charities - Englewood,6202 S. Halsted St.,60621,312-655-7725,Weekdays: Monday - Friday 8am - 8pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Family Psychotherapy; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Psychiatry;,false,true,POINT (-87.645203 41.781248996)
Carolina Therapeutic Services (CTS) Health - South,4756 E. 47th St.,60653,773-360-1389,"Weekdays: Monday - Friday 9am - 8pm
Weekends: Saturday 9am - 3pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,Spanish,Case Management/Care Coordination; Community Support Teams; Family Psychotherapy; Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term;,true,true,POINT (-87.742829915 41.807704906)
Carolina Therapeutic Services (CTS) Health - North,2715 N. Central Ave.,60639,773-360-1389,"Weekdays: Monday - Friday 9am - 8pm
Weekends: Saturday 9am - 3pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,Spanish,Case Management/Care Coordination; Community Support Teams; Family Psychotherapy; Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term;,true,true,POINT (-87.765821017 41.930036997)
BUILD Inc.,5100 W. Harrison St.,60644,773-227-2880,Weekdays: Monday - Friday 9am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old; 5-12 years old; 13-17 years old; 18-24 years old;,Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Family Psychotherapy; Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term;,false,true,POINT (-87.753625013 41.87325501)
Bobby E. Wright Comprehensive Behavioral Health,5002 W. Madison St.,60644,773-722-7900,Weekdays: Monday - Friday 9am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,,Behavioral Health Consulting; Case Management/Care Coordination; Community Support Teams; Family Psychotherapy; Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Peer Support Services; Psychiatry;,true,true,POINT (-87.750587848 41.880497315)
Aunt Martha's Health and Wellness - Southeast Side Community Health Center,3528 E. 118th St.,60617,877-692-8686,Weekdays: Monday - Thursday 8am - 7pm; Friday 8:30am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Assertive Community Treatment; Behavioral Health Consulting; Case Management/Care Coordination; Community Support Teams; Family Psychotherapy; Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Peer Support Services; Psychiatry; Psychological Testing,false,true,POINT (-87.537568473 41.680983075)
Aunt Martha's Health and Wellness - Humboldt Park Community Health Center,2641 W. Division St.,60622,877-692-8686,Weekdays: Monday - Friday 8:30am - 4pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Assertive Community Treatment; Behavioral Health Consulting; Case Management/Care Coordination; Community Support Teams; Peer Support Services; Family Psychotherapy; Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Psychiatry; Psychological Testing;,false,true,POINT (-87.69359399 41.902697995)
"Asian Human Services Family Health Center - Peterson, Niles and Skokie",6301 N. Western Ave.,60659,773-761-0300,"Weekdays: Monday, Wednesday, & Friday 9am - 5pm; Tuesday & Thursday 9am -7pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,Gujarati; Hindi; Telugu; Urdu,Behavioral Health Consulting; Case Management/Care Coordination; Family Psychotherapy; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Psychiatry;,true,true,POINT (-87.689460035 41.996293008)
Asian Human Services Family Health Center,2501 W. Peterson Ave.,60659,773-761-0300,"Weekdays: Monday, Wednesday, & Friday 9am - 5pm; Tuesday & Thursday 11am - 7pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,Gujarati; Hindi; Telugu; Urdu,Behavioral Health Consulting; Case Management/Care Coordination; Family Psychotherapy; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Psychiatry;,true,true,POINT (-87.692327987 41.990226019)
Apna Ghar - Northtown Public Library,6800 N Western Avenue,60645,773-883-4663,Weekdays: Friday 2pm - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old; 5-12 years old; 13-17 years old; 18-24 years old; and 25-64 years old,Hindi,Community health worker services,false,false,POINT (-87.690425966 42.005475006)
Apna Ghar - Main location,"4350 N. Broadway St., 2nd Floor",60613,773-883-4663,"Weekdays: Monday - Friday 9am - 6 pm
Weekends: Saturday 9am - 6pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old; 5-12 years old; 13-17 years old; 18-24 years old; 25-64 years old;,Amharic; Arabic; Bengali; Bosnian; Dari; Farsi; French; Gujarati; Kurdish; Malayalam; Nepali; Pashto; Spanish; Tagalog; Urdu,Behavioral Health Consulting; Case Management/Care Coordination; Community Support Teams; Group Therapy or Support Groups; Peer Support Services;,true,false,POINT (-87.65533999 41.961382004)
"Alternatives, Inc - Washington Park",241 E. 57th St.,60637,773-506-7474,Weekdays: Monday - Friday 8am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;,Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Family Psychotherapy; Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Psychiatry;,true,true,POINT (-87.620131585 41.791030415)
Alivio Medical Center - Western Location,2355 S. Western Ave.,60608,773-254-1400,"Weekdays: Monday, Tuesday, Thursday, & Friday 8:30am - 5:30pm;  Wednesday 1pm - 8pm
Weekends: Saturday 9am - 1pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Family Psychotherapy; Individual Psychotherapy - short term; Psychiatry;,false,true,POINT (-87.685167998 41.848540004)
Alivio Medical Center - Morgan Location,966 W. 21st St.,60608,773-254-1400,"Weekdays: Monday, Tuesday, Thursday, & Friday 8:30am - 5:30pm;  Wednesday 1pm - 8pm
Weekends: Saturday 9am - 1pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Family Psychotherapy; Individual Psychotherapy - short term; Psychiatry;,false,true,POINT (-87.65098601 41.854159987)
"Ada S. McKinley Community Services, Inc. - Wentworth",6033 S. Wentworth,60621,773-918-6100,Weekdays: Monday - Friday 9am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;,Spanish,Case Management/Care Coordination; Family Psychotherapy; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Peer Support Services; Psychiatry; Psychological Testing;,true,false,POINT (-87.629902003 41.784326998)
"Ada S. McKinley Community Services, Inc. - Greenwood",8741 S. Greenwood Ave.,60619,773-918-6100,Weekdays: Monday - Friday 9am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;,Spanish,Case Management/Care Coordination; Family Psychotherapy; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Peer Support Services; Psychiatry; Psychological Testing;,true,false,POINT (-87.596735986 41.735436992)
"Ada S. McKinley Community Services, Inc. - Educational Services",100 E. 34th St.,60616,773-918-6100,Weekdays: Monday - Friday 9am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;,Spanish,Case Management/Care Coordination; Family Psychotherapy; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Peer Support Services; Psychiatry; Psychological Testing;,true,false,POINT (-87.623000009 41.833164995)
"Ada S. McKinley Community Services, Inc. - Behavior Health and Clinical Services",2715 W. 63rd St.,60629,773-918-6100,Weekdays: Monday - Friday 9am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;,Spanish,Case Management/Care Coordination; Family Psychotherapy; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Peer Support Services; Psychiatry; Psychological Testing;,true,false,POINT (-87.691607982 41.778942003)
Access Community Health Network Servicios Medicos La Villita,3303 W. 26th St.,60623,773-277-6589,"Weekdays: Monday, Wednesday, & Friday 7am - 7pm; Tuesday & Thursday 7am - 9pm
Weekends: Saturday 7am - 2pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Individual Psychotherapy - short term; Psychiatry;,false,true,POINT (-87.707785977 41.84421599)
Access Community Health Network - Westside Family Health Center,3752 W. 16th St.,60623,773-762-2435,"Weekdays: Monday-Friday: 8am to 5:30pm
Saturday: 8:30am-1pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Individual Psychotherapy - short term; Psychiatry;,false,true,POINT (-87.719734967 41.859113985)
Access Community Health Network - Warren Family Health Center,2409 W. Warren Blvd.,60612,312-733-4475,Weekdays: Monday - Friday 8:30am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Individual Psychotherapy - short term;,false,true,POINT (-87.686900034 41.881828984)
Access Community Health Network - Southwest Family Health Center,4839 W. 47th St.,60638,773-735-2345,"Weekdays: Monday, Wednesday, & Friday 8am - 5pm; Tuesday & Thursday 8am - 6pm
Weekends: Saturday 8am - 12pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Individual Psychotherapy - short term;,false,true,POINT (-87.744798031 41.807305986)
Access Community Health Network - Sinai,"2653 W. Ogden Ave., 3rd Floor",60608,773-522-6100,"Weekdays: Monday - Friday 8am - 8pm
Weekends: Saturday: 8am-3pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Individual Psychotherapy - short term;,false,true,POINT (-87.692940034 41.86174498)
